message,subject,intent,issue
The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind of executive for their customer support service.   bless you dear.,,UnProfessional Behaviour,UnProfessional Behaviour - The way she talked with me is quite appropriate and nice as well. Shopzilla should hire these kind o
"Please pack the products which actually customers ordered, otherwise it is time to both you and us Shopzilla.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Please pack the products which actually customers ordered, otherwise it is time to both you and us S"
Thanks,,General Enquiry,General Enquiry - Thanks 
????,,Refund Related Issues,Refund Related Issues - ????
Mr   was very helpful,,Not Needed,Not Needed - Mr   was very helpful 
"Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the late feedback. Bhai please call me.",,Damaged,"Damaged - Thank you so much sir for solving my issue . Bhai, please highlight my concern. Bhai sorry for the l"
Good,,Wrong,Wrong - Good 
Thankyou,,Return request,Return request - Thankyou 
I selected for English language preference but it's goes into Hindi channel. But customer service executive doesn't understand English properly,,Order status enquiry,Order status enquiry - I selected for English language preference but it's goes into Hindi channel. But customer service ex
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice 
"Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving worst products... Sell your products like Myntra ( Myntra always send their products)",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Please don't give the chance of local shop/ company,,, they're using the name of Shopzilla & giving "
Thank you   for your valuable time & support,,Wrong,Wrong - Thank you   for your valuable time & support 
Good night,,Order status enquiry,Order status enquiry - Good night
No,,Fraudulent User,Fraudulent User - No
Thank you so much,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you so much 
?? no,,Service Centres Related,Service Centres Related - ?? no
Please provide customer support in regional language like Bengali,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please provide customer support in regional language like Bengali 
Delete in Shopzilla account,,Technician Visit,Technician Visit - Delete in Shopzilla account 
Next time better,,Missing,Missing - Next time better 
Very poor service and support,,Delayed,Delayed - Very poor service and support 
Thanks for understanding my problem and helping me out,,Fraudulent User,Fraudulent User - Thanks for understanding my problem and helping me out 
Nk,,Return request,Return request - Nk
Noise watch not restart,,Installation/demo,Installation/demo - Noise watch not restart
No any response my orderVery bad costumer service,,Order status enquiry,Order status enquiry - No any response my orderVery bad costumer service
Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug,,Order status enquiry,Order status enquiry - Small product is take so much time and my order is ariving 2 aug but suddanly is change to 5 aug
Reten,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Reten
Nice,,Fraudulent User,Fraudulent User - Nice 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Call disconnect and not provide information proper,,Fraudulent User,Fraudulent User - Call disconnect and not provide information proper
My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved quickly then why we don't do shopping from other shopping app where our issue is solved quickly,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - My issue is not resolved from yesterday.this is not a good thing.if customer issue is not solved qui
Everything is good ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Everything is good ??
Wrong Product received.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Wrong Product received.
Good communication skills,,UnProfessional Behaviour,UnProfessional Behaviour - Good communication skills 
Thanks ??,,Order status enquiry,Order status enquiry - Thanks ??
Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and also there's no compensation for customer satisfiaction. it makes us to move out from Shopzilla.,,Seller Cancelled Order,Seller Cancelled Order - Worst Shopzilla customer service. Shopzilla shouldn't cancel order without ack from customer and als
I am waiting second item today because today evening my flight please solve that today thanks,,Order status enquiry,Order status enquiry - I am waiting second item today because today evening my flight please solve that today thanks 
Nothing to say thanks for solving my issue,,Not Needed,Not Needed - Nothing to say thanks for solving my issue
"Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in your company.",,General Enquiry,"General Enquiry - Shopzilla customer service executive   was very helpful,I appreciate her to good future ahead in you"
No,,Refund Enquiry,Refund Enquiry - No
Thankyou so much,,Order status enquiry,Order status enquiry - Thankyou so much 
Nyc talkng,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nyc talkng
Thanks,,Service Centres Related,Service Centres Related - Thanks 
"You have played around with this order. Without taking customers concern, how can you plan the resolution/pick-up of the products? Don't you have brain to check with the customers availability? Also, no courtesy to atleast reach customer and apologize for the mess created by Shopzilla due to systems failure. Order placed on 8 July and 19 July damaged product delivered. I'm still awaiting for the resolution and refund.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - You have played around with this order. Without taking customers concern, how can you plan the resol"
Excellent,,Exchange / Replacement,Exchange / Replacement - Excellent 
Very nice,,Order status enquiry,Order status enquiry - Very nice 
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Bot is very annoying,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Bot is very annoying
Ok,,Delayed,Delayed - Ok
Have faith in coustomar,,Damaged,Damaged - Have faith in coustomar 
One side nit warning,,Installation/demo,Installation/demo - One side nit warning 
They put my call on hold but after sometime they disconnected without any information.,,Refund Enquiry,Refund Enquiry - They put my call on hold but after sometime they disconnected without any information.
Please solve the queries,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Please solve the queries
No,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No
She is very good. If she need to switch the job ask her to contact me.,,Delayed,Delayed - She is very good. If she need to switch the job ask her to contact me.
Item are too delay of delivery date,,Delayed,Delayed - Item are too delay of delivery date
10 days order not supply &no payment refund,,Refund Related Issues,Refund Related Issues - 10 days order not supply &no payment refund
Best,,Product Specific Information,Product Specific Information - Best 
"Idiotic customer care executives, no solution from your end since April 28 th, call disconnected from the executive end",,Installation/demo,"Installation/demo - Idiotic customer care executives, no solution from your end since April 28 th, call disconnected fro"
My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx Shopzilla,,General Enquiry,General Enquiry - My issue paylater bill not submited so i talk customer  suppprt nd my issue solve in just min thnx S
Problems and concern's Good Understanding and solved.,,Product Specific Information,Product Specific Information - Problems and concern's Good Understanding and solved.
My problem is not yet solved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - My problem is not yet solved 
"I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refunded the last date to pick up the product after refund was 25th july but my product didn't get picked up till 31st july.  And I was consoled to wait only 24 hours for 5 days after talking to the costumer care, even after that no one came for pickup, I felt very sad seeing the return policy of Shopzilla.  That's why I canceled myself last night, first time this happened to me ??",,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I ordered a sleeper which was delivered on 22nd july after that i didn't like its quality so i refun
Awful customer support ever,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Awful customer support ever
Good job ??,,Delayed,Delayed - Good job ??
Happy,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Happy 
happy costumer support,,Return cancellation,Return cancellation -   happy costumer support 
U cal display ur customers support number4 help any customers problem But no display customers care number,,Delayed,Delayed - U cal display ur customers support number4 help any customers problem But no display customers care 
After delivery of the product take responsibility of the items.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - After delivery of the product take responsibility of the items.
Interaction was awesome but policy is very bad can't unblock my account pay later,,General Enquiry,General Enquiry - Interaction was awesome but policy is very bad can't unblock my account pay later
Reduce time,,General Enquiry,General Enquiry - Reduce time
Kindly resolve all of your server related issues to help with real time data.,,Product Specific Information,Product Specific Information - Kindly resolve all of your server related issues to help with real time data.
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good
Make it easy to reach to executive,,Invoice request,Invoice request - Make it easy to reach to executive 
Excellent service ??,,Delayed,Delayed - Excellent service ??
poor customer service,,Return request,Return request - poor customer service
Happy,,Invoice request,Invoice request - Happy
Very good working,,Order status enquiry,Order status enquiry - Very good working 
Make calling more accessible and easily approachable,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Make calling more accessible and easily approachable
Everything is ok ??,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Everything is ok ??
peoblem not solve,,Online Payment Issues,Online Payment Issues - peoblem not solve
Over all very good,,Delayed,Delayed - Over all very good 
Very good,,Damaged,Damaged - Very good 
Very good nice bro,,Order status enquiry,Order status enquiry - Very good nice bro 
Good support,,Refund Enquiry,Refund Enquiry - Good support  
Good,,Account updation,Account updation - Good 
Bist gadnig,,Seller onboarding,Seller onboarding - Bist gadnig 
Shopzilla team very good team,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Shopzilla team very good team 
Good,,Order status enquiry,Order status enquiry - Good 
Failure is the only word for Shopzilla,,Seller Cancelled Order,Seller Cancelled Order - Failure is the only word for Shopzilla 
Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and only refund is available she said.,,Fraudulent User,Fraudulent User - Very slow and lots of doubts the representative had. Many things on grocery doesn't get returned and
Process gap in Executive,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Process gap in Executive
Make sure correct orders get delivered,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Make sure correct orders get delivered 
Thanks,,Damaged,Damaged - Thanks 
Not at all happy with Shopzilla worst experience till date.   your customer representative said that phone exchange cannot be done due logistics issue and reason is not mentioned. If problem is from Shopzilla end then why end consumer has to bear consequences. Need to improve customer service and transparency in policies,,Exchange / Replacement,Exchange / Replacement - Not at all happy with Shopzilla worst experience till date.   your customer representative said that
You may need to have frequent conversations with the new startups which are selling products on your platform. You may need to have track on their support / service related issues.,,Service Centres Related,Service Centres Related - You may need to have frequent conversations with the new startups which are selling products on your
Refund policy,,Order status enquiry,Order status enquiry - Refund policy
"It will be good, if the customer support had a first hand information and provide to the customer immediately.",,Delayed,"Delayed - It will be good, if the customer support had a first hand information and provide to the customer im"
"The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital disturbance noises & jitters.",,Payment related Queries,"Payment related Queries - The voice connectivity was extremely poor with a lot of echo, automatic repeat of words, digital dis"
Very poor,,Seller Cancelled Order,Seller Cancelled Order - Very poor 
The executive was very polite and addressed all my concerns made sure to check-in and see if everything was resolved. It wasgood service. Thank you.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The executive was very polite and addressed all my concerns made sure to check-in and see if everyth
Outstanding ??,,Return request,Return request - Outstanding ??
Thank you for understanding my problem and give the solution on the same time?,,Return request,Return request - Thank you for understanding my problem and give the solution on the same time?
"Very helpful agent , the Team Managers should get more agent like her",,Delayed,"Delayed - Very helpful agent , the Team Managers should get more agent like her "
While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's be very easy and comfortable,,Fraudulent User,Fraudulent User - While any issue we need to contact customer service it's be busy ..pls be in app itself to ....it's 
wrong product delivered.  i am scared to make further orders on Shopzilla.,,Delayed,Delayed - wrong product delivered.  i am scared to make further orders on Shopzilla.
Well ? done,,Product Specific Information,Product Specific Information - Well ? done
Nice,,Return request,Return request - Nice
For all excutive Customer support always ready.,,Wrong,Wrong - For all excutive Customer support always ready.
Not supportive customer care,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Not supportive customer care
Your return policy is very bad scant shopping by Shopzilla in future,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Your return policy is very bad scant shopping by Shopzilla in future
very helpful,,Priority delivery,Priority delivery - very helpful 
Tv farzi sab,,Technician Visit,Technician Visit - Tv farzi sab  
Thank you,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you 
Very good,,Order status enquiry,Order status enquiry - Very good 
Nice,,Installation/demo,Installation/demo - Nice
No,,Invoice request,Invoice request - No
Thank you,,General Enquiry,General Enquiry - Thank you
Our return request are getting auto canceled three times.  Please avoid this refund the amount.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Our return request are getting auto canceled three times.  Please avoid this refund the amount.
Im happy with customer service...thanks,,Product Specific Information,Product Specific Information - Im happy with customer service...thanks
Best experience provided by Shopzilla customer service,,Fraudulent User,Fraudulent User - Best experience provided by Shopzilla customer service 
"It was difficult to hear the staff , either the microphone was not efficiently working or there was a network issue .",,Wrong,"Wrong - It was difficult to hear the staff , either the microphone was not efficiently working or there was "
Osm call support,,Product Specific Information,Product Specific Information - Osm call support 
"Before delivery check all products properly.do not delivered wrong item ,like defective, broken, Because I have ordered allmost 50 order but few orders delivered properly.others defective or after using sometime they not working properly.",,Installation/demo,"Installation/demo - Before delivery check all products properly.do not delivered wrong item ,like defective, broken, Bec"
Good job,,Refund Enquiry,Refund Enquiry - Good job
I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopzilla staff and she is very sweet and understanding and i love her nature thanku for being very kind and sweet.,,Return request,Return request - I talk to Shopzilla staff before some time but they are very rude but when I talk this time to Shopz
Query not solved,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Query not solved
A customer should be able to change his/her registered mobile number even when the old number is lost.,,Return request,Return request - A customer should be able to change his/her registered mobile number even when the old number is los
Every time they make fool of us,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Every time they make fool of us
Thank you Miss   for resolving my issue.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you Miss   for resolving my issue. 
He is really nice and solved my problem very nicely .. thank you so much,,General Enquiry,General Enquiry - He is really nice and solved my problem very nicely .. thank you so much 
Sheenesh handling my problem well if I can say something this is it,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Sheenesh handling my problem well if I can say something this is it
Good working Shopzilla team,,Order Verification,Order Verification - Good working Shopzilla team
"Return request was done by me but your delivery partner was not picked up the order, and my request of return was automatically cancelled by Shopzilla. Is not good thing for customer like me and other one. Please make sure that type of issues are not occur again and again.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Return request was done by me but your delivery partner was not picked up the order, and my request "
"I haven't received the Product, still the delivery boy has shown delivered. See now the communication gap and the status updated.",,Delayed,"Delayed - I haven't received the Product, still the delivery boy has shown delivered. See now the communicatio"
Ghatiya log h Shopzilla vale,,Installation/demo,Installation/demo - Ghatiya log h Shopzilla vale
Don't trying to make fulis peppers,,Technician Visit,Technician Visit - Don't trying to make fulis peppers
"Those who are creating issues, those taking complain and those who are working on complain are completely from different teams and they don't have any sync or level of customer dissatisfaction from customer, however they all are working but not with a goal. This creates frustration in customer, who slowly loose faith with the company.",,Delayed,"Delayed - Those who are creating issues, those taking complain and those who are working on complain are compl"
"When someone write \"" need a call \"" then your system should respond immediately.",,Return request,"Return request - When someone write \"" need a call \"" then your system should respond immediately."
"Thanks,it took 4 hrs to reach customer care..",,Installation/demo,"Installation/demo - Thanks,it took 4 hrs to reach customer care.."
Excellent,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Excellent 
Good,,Installation/demo,Installation/demo - Good
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good 
Very very very good,,Refund Enquiry,Refund Enquiry - Very very very good 
Nice,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice
"Items missing is a very Bad Taste for the customer who is in need of the material.  Pls work to avoid such issues,  spoiling the reputation of the brand",,Order status enquiry,Order status enquiry - Items missing is a very Bad Taste for the customer who is in need of the material.  Pls work to avoi
Customer support executive is very kind hearted,,Shopzila Premium Related,Shopzila Premium Related - Customer support executive is very kind hearted 
Good help,,Product Specific Information,Product Specific Information - Good help 
"Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please improve your service,,,,and don't fool to people.........I ordered some products on 27 July 2023 ,,,,,but after 4-5 days Shopzilla sent me a message,,,your order cancelled,,,,,,,why Shopzilla sales like this I irritating so much,,,,,,after that I uninstalled Shopzilla app,,,,and shift to SuperBuy ,,,,,",,Seller Cancelled Order,"Seller Cancelled Order - Shopzilla your costumer support very bad,,,,,they not capable to resolve my concern,,,,,, please imp"
Ok,,Return request,Return request - Ok
very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - very good
My money was deducted and the order is not yet confirmed,,Product Specific Information,Product Specific Information - My money was deducted and the order is not yet confirmed
Thanku for supporting,,Order status enquiry,Order status enquiry - Thanku for supporting 
Doesn't deliver product on time,,Delayed,Delayed - Doesn't deliver product on time
All good,,Order status enquiry,Order status enquiry - All good 
Very helpful support thanku Shopzilla,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very helpful support thanku Shopzilla
one item fortune mustered oill missing ... refund asap..,,Fraudulent User,Fraudulent User - one item fortune mustered oill missing ... refund asap..
Don't sell company defective items.,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Don't sell company defective items.
The customer service is very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The customer service is very good 
Bad service  customer relative not problem resolve,,Installation/demo,Installation/demo - Bad service  customer relative not problem resolve
Wen u assign a deliver partner for return make sure that the wishmaster agents shud du their responsibility...not instead of saying I m not capable of taking this item I can't take this return.....even ur app has flaws u shud specify tu an agent wat product he has tu tke frm custo.er cmng on door and seeing the product he says this is the trolley part I m hvng two wheeler...so u shud call customer care wat is this,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Wen u assign a deliver partner for return make sure that the wishmaster agents shud du their respons
Excellent,,Delayed,Delayed - Excellent
Very nice person,,Online Payment Issues,Online Payment Issues - Very nice person 
"Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products to customers. Please have a strict rule and sort out them and take action.",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Sellers with No return policy, are sending Incorrect products, incorrect size, poor quality products"
Thanks,,Product Specific Information,Product Specific Information - Thanks 
Very food,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very food
Nice help sir,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nice help sir
Mivi policy is not transparent for customer,,Product Specific Information,Product Specific Information - Mivi policy is not transparent for customer
Very good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good 
Muzammil46,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Muzammil46 
Very bad,,Installation/demo,Installation/demo - Very bad
Good,,Fraudulent User,Fraudulent User - Good
Return policy refurbished need,,Wrong,Wrong - Return policy refurbished need 
This is good woman manjileka,,Return request,Return request - This is good woman manjileka
Great services,,Delayed,Delayed - Great services 
Very good service,,Missing,Missing - Very good service 
So sweet,,Order status enquiry,Order status enquiry - So sweet 
Too Good. Thanks,,Seller Cancelled Order,Seller Cancelled Order - Too Good. Thanks 
Thank you Shopzilla and thank you Shopzilla customer support,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Thank you Shopzilla and thank you Shopzilla customer support 
Bad service,,Order status enquiry,Order status enquiry - Bad service 
Good communication skills,,Refund Related Issues,Refund Related Issues - Good communication skills 
Good,,Order status enquiry,Order status enquiry - Good 
Not sastify with service and answers,,Wrong,Wrong - Not sastify with service and answers 
Thanku Maim,,Invoice request,Invoice request - Thanku Maim
No,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - No
I am happy,,Service Centres Related,Service Centres Related - I am happy 
Thanks,,Product Specific Information,Product Specific Information - Thanks 
Super,,Order status enquiry,Order status enquiry - Super 
Samal kushwaha,,Installation/demo,Installation/demo - Samal kushwaha 
Good communication,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good communication 
"Try to sell authorized products, as duplicate product had seller from your platform",,Installation/demo,"Installation/demo - Try to sell authorized products, as duplicate product had seller from your platform"
ache   krke,,Return request,Return request -   ache   krke
Good,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Good
Good,,Not Needed,Not Needed - Good 
Good behavior,,Refund Enquiry,Refund Enquiry - Good behavior 
I'm not good,,Return request,Return request - I'm not good 
"I like to talk with this guy , she was very humbleThankyou so much I appreciate ????",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - I like to talk with this guy , she was very humbleThankyou so much I appreciate ????"
Nice person,,Fraudulent User,Fraudulent User - Nice person 
Issue still continue,,Installation/demo,Installation/demo - Issue still continue
Cancel order,,Product Specific Information,Product Specific Information - Cancel order
Thankyou!,,General Enquiry,General Enquiry - Thankyou! 
Very nice and very good cosumer support,,Other Cashback,Other Cashback - Very nice and very good cosumer support 
"Please, do not do work with bad sellers, who send wrong items and fake products",,Reverse Pickup Enquiry,"Reverse Pickup Enquiry - Please, do not do work with bad sellers, who send wrong items and fake products"
It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice towards the customer.  This is very bad usage.  I am not taking anything else here..,,Seller Cancelled Order,Seller Cancelled Order - It treated me very badly.  Why canceled the order after taking my order.  It is very bad practice to
My all doubts solved thak you sir,,Product Specific Information,Product Specific Information - My all doubts solved thak you sir
Good best but my amount is not credited my account,,Order status enquiry,Order status enquiry - Good best but my amount is not credited my account 
I love his voice so preety please upgrade his post into manager in Shopzilla this person is very helpful thanks brother ????????,,Product Specific Information,Product Specific Information - I love his voice so preety please upgrade his post into manager in Shopzilla this person is very hel
The most inefficient resolution mechanism,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - The most inefficient resolution mechanism 
Thanks Team!,,Missing,Missing - Thanks Team!
Very nice   ??,,Wrong,Wrong - Very nice   ?? 
Osm,,UnProfessional Behaviour,UnProfessional Behaviour - Osm
very good person,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - very good person 
Very good service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Very good service 
Good,,Online Payment Issues,Online Payment Issues - Good
"Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation.",,Exchange / Replacement,"Exchange / Replacement - Need exchange option again as I clicked \""Reject\"" by mistake during exchange confirmation."
Issues resolution fast,,Service Centres Related,Service Centres Related - Issues resolution fast
Costumers support team is very good,,Priority delivery,Priority delivery - Costumers support team is very good 
"Very wrost service nobody resolvoed without deliverying product delivery agent updating as product delivered it's absolutely wrong data leakaging without asking pin he has updated like this, what it shows? Till date am unable to connect with him also",,UnProfessional Behaviour,UnProfessional Behaviour - Very wrost service nobody resolvoed without deliverying product delivery agent updating as product d
Fraud company Shopzilla company,,Order status enquiry,Order status enquiry - Fraud company Shopzilla company 
Tq,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Tq 
Amazing customers support but poor proceedings,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Amazing customers support but poor proceedings 
He was very good in communication and all and i expect to solve my asap thank you,,Refund Enquiry,Refund Enquiry - He was very good in communication and all and i expect to solve my asap thank you
Executive was good and professional resolved my query but he was unable to address my doubt about FK services.but overall good ??,,Product Specific Information,Product Specific Information - Executive was good and professional resolved my query but he was unable to address my doubt about FK
Very good,,Payment related Queries,Payment related Queries - Very good 
"Ordered on 27th with expected delivery on 29th. Put for delivery on 30th, no call, gets undeliveredDelivery agent confirms address on 31st but doesn't pick up call, marks undeliveredOn 1st, gets undelivered without a callOn the 2nd gets cancelledYour so called senior support agent   is absolutely horrible and even ridiculed by pronuncing my name at the end. This rating is for him and your service with it.Not only is your service pathetic, but so are your agents.Terrible service and experience I've had",,Seller Cancelled Order,"Seller Cancelled Order - Ordered on 27th with expected delivery on 29th. Put for delivery on 30th, no call, gets undeliveredD"
satisfied from the conversation with Miss   regarding my issue...Thanks,,Seller Cancelled Order,Seller Cancelled Order - satisfied from the conversation with Miss   regarding my issue...Thanks
Aplog apan system may sudhar laya nahyto bohat jald apna dukan band,,Fraudulent User,Fraudulent User - Aplog apan system may sudhar laya nahyto bohat jald apna dukan band   
Bad service,,Seller Cancelled Order,Seller Cancelled Order - Bad service 
Ok,,Not Needed,Not Needed - Ok
Good,,Return request,Return request - Good
Good experience with Shopzilla,,Service Centres Related,Service Centres Related - Good experience with Shopzilla 
?????? ??????? ??? ???? ????,,Return request,Return request - ?????? ??????? ??? ???? ????
Thanks Shopzilla,,Delayed,Delayed - Thanks Shopzilla 
Mera parcel cancel kar diya,,Delayed,Delayed - Mera parcel cancel kar diya 
I am happy with customer service,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I am happy with customer service
Very good mam,,Missing,Missing - Very good mam
Good,,Installation/demo,Installation/demo - Good
Give option for faster delivery,,Not Needed,Not Needed - Give option for faster delivery 
Very good voice,,Wallet related,Wallet related - Very good voice 
Shopzilla fraud h Customer ko gumrah   h,,Seller Cancelled Order,Seller Cancelled Order - Shopzilla fraud h Customer ko gumrah   h
"I didn't received the the product one out of two. Very frustrated .Please understand that my frustration is not directed at you personally, but rather at the lack of attention and assistance from your customer service representatives. I believe that a reputable company like yours should prioritize its customers and work towards resolving issues promptly and effectively.I sincerely hope that you will consider my situation with utmost urgency and help restore my faith in your company's commitment to customer satisfaction. I expect a timely response to this email and a tangible resolution to my problem.Thank you for your attention to this matter.",,Missing,Missing - I didn't received the the product one out of two. Very frustrated .Please understand that my frustra
Recently I talk to the customer support service your behaviour of your employee was soo polite and mannerful hats of to you man thanks for solving my problem stay blessed ??,,Not Needed,Not Needed - Recently I talk to the customer support service your behaviour of your employee was soo polite and m
Vary good,,Wrong,Wrong - Vary good
Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Sometimes they arrive in busy hours and it becomes difficut to receive the order. So recepient should be informed about the approximate delivery time.,,Missing,Missing - Try to fix delivery hours as it is uncertain that when delivery person will arrive in whole day. Som
I don't like chat bot,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I don't like chat bot 
Plz refund immediately,,Refund Related Issues,Refund Related Issues - Plz refund immediately 
Nothing,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - Nothing 
I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make it more easy for customers. So it make helpful for customers.Thankyou,,Reverse Pickup Enquiry,Reverse Pickup Enquiry - I look some scarcity of clarity in coustomer problem solutions. it has take much time. Please make i
